Enquete;Tire;xDeb;nbMots;Tour de parole
Nawal7_220618.TextGrid;Nawal;0.41861;2;Ah Bon.;
Nawal7_220618.TextGrid;Nawal;2.62594;7;Eh  comme ça ça le faisait moi.;
Nawal7_220618.TextGrid;Nawal;7.49197;0;.;
Nawal7_220618.TextGrid;Nawal;12.9095;5;Il est où ton banc.;
Nawal7_220618.TextGrid;Nawal;15.8439;8;Il y a un banc ici ah ouais.;
Nawal7_220618.TextGrid;Nawal;26.5690;6;xxxx là à côté de toi.;
Nawal7_220618.TextGrid;Nawal;31.3831;8; donc on va  O.K tu vas  tomber x.;
Nawal7_220618.TextGrid;Nawal;40.6020;5;Non il va tomber youssef@a.;
Nawal7_220618.TextGrid;Nawal;42.6535;15;Je t'assure qu'il va tomber t- à un moment donné tu vas bouger.;
Nawal7_220618.TextGrid;Nawal;47.7793;38;Je sais pas si  c'est lui qui entend ou c'est moi qui en-  non mais l'essentiel il faut que par la suite euh qu'ils arrivent à il faut qu'on parle à haute voix.;
Nawal7_220618.TextGrid;Nawal;57.0780;1;Normal.;
Nawal7_220618.TextGrid;Nawal;58.3102;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;58.9626;13;Ouais parle euh comme ça on va réveiller les voisins  donc tu disais.;
Nawal7_220618.TextGrid;Nawal;66.7859;6;C'est ça que tu veux.;
Nawal7_220618.TextGrid;Nawal;69.9541;5;La coupe euh du siècle.;
Nawal7_220618.TextGrid;Nawal;72.0910;4;La coupa@s du siècle.;
Nawal7_220618.TextGrid;Nawal;74.6284;3;Nan mais euh.;
Nawal7_220618.TextGrid;Nawal;76.6540;7;C'est tu l'as faite ici ?;
Nawal7_220618.TextGrid;Nawal;79.2063;2;La photo.;
Nawal7_220618.TextGrid;Nawal;81.2764;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;82.3251;3;Là euh dernièrement ?;
Nawal7_220618.TextGrid;Nawal;85.6231;11;Ah c'est pour ça que tu as écrit palaya@s playa@s.;
Nawal7_220618.TextGrid;Nawal;89.4078;2;Ah ouais.;
Nawal7_220618.TextGrid;Nawal;90.8472;7;Ah ouais c'est à cause de.;
Nawal7_220618.TextGrid;Nawal;93.2060;9; non mais c'est c'est portugais ça playa@s.;
Nawal7_220618.TextGrid;Nawal;97.6899;4;C'est espagnol playa@s ?;
Nawal7_220618.TextGrid;Nawal;102.546;1;Si.;
Nawal7_220618.TextGrid;Nawal;103.436;2;L'espagnol.;
Nawal7_220618.TextGrid;Nawal;104.923;2;D'accord.;
Nawal7_220618.TextGrid;Nawal;112.803;3;Mh d'accord.;
Nawal7_220618.TextGrid;Nawal;116.257;2;Une semaine ?;
Nawal7_220618.TextGrid;Nawal;117.285;3;Ah c'est.;
Nawal7_220618.TextGrid;Nawal;120.365;6;C'est quoi ta coupe alors.;
Nawal7_220618.TextGrid;Nawal;125.091;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;126.312;2;Dommage si.;
Nawal7_220618.TextGrid;Nawal;133.696;7;x çà c'est le sable là ?;
Nawal7_220618.TextGrid;Nawal;137.253;1;Mh.;
Nawal7_220618.TextGrid;Nawal;139.764;11;Ouais elle est jolie tu l'as envoyée à ta copine.;
Nawal7_220618.TextGrid;Nawal;152.151;1;xxx;
Nawal7_220618.TextGrid;Nawal;156.956;1;X.;
Nawal7_220618.TextGrid;Nawal;162.149;5;Ah genre un book@s euh.;
Nawal7_220618.TextGrid;Nawal;166.563;6;Mh d'accord s'appelle comment ?;
Nawal7_220618.TextGrid;Nawal;169.053;4;Ah oui celui euh.;
Nawal7_220618.TextGrid;Nawal;170.932;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;174.844;1;Pourquoi ;
Nawal7_220618.TextGrid;Nawal;182.098;12;Ah bon ils ont droit de prendre n'importe où ou tu.;
Nawal7_220618.TextGrid;Nawal;187.553;1;Mh.;
Nawal7_220618.TextGrid;Nawal;190.747;1;Mum.;
Nawal7_220618.TextGrid;Nawal;194.304;5;Mh c'est ton copain ?;
Nawal7_220618.TextGrid;Nawal;196.568;1;Ah.;
Nawal7_220618.TextGrid;Nawal;201.004;2;D'accord.;
Nawal7_220618.TextGrid;Nawal;205.384;1;Mh.;
Nawal7_220618.TextGrid;Nawal;208.708;9;Mais ah ouais donc n'importe qui peut prendre.;
Nawal7_220618.TextGrid;Nawal;212.733;1;Mh.;
